classifier,fold,accuracy,died_precision,died_recall,died_f1,macro_f1
KNN (k=21),1,0.6785714285714286,0.5,0.1111111111111111,0.1818181818181818,0.49090909090909085
"KNN+ (VDM+sqrtIG, k=21)",1,0.75,1.0,0.2222222222222222,0.3636363636363636,0.6040404040404039
DT (ID3),1,0.6428571428571429,0.42857142857142855,0.3333333333333333,0.375,0.5625
DT+ (max_depth=2),1,0.75,1.0,0.2222222222222222,0.3636363636363636,0.6040404040404039
KNN (k=21),2,0.6785714285714286,0.5,0.1111111111111111,0.1818181818181818,0.49090909090909085
"KNN+ (VDM+sqrtIG, k=21)",2,0.7142857142857143,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.5757575757575757
DT (ID3),2,0.6071428571428571,0.4166666666666667,0.5555555555555556,0.4761904761904762,0.580952380952381
DT+ (max_depth=2),2,0.75,1.0,0.2222222222222222,0.3636363636363636,0.6040404040404039
KNN (k=21),3,0.75,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.6813008130081302
"KNN+ (VDM+sqrtIG, k=21)",3,0.7142857142857143,0.5714285714285714,0.4444444444444444,0.5,0.65
DT (ID3),3,0.5714285714285714,0.38461538461538464,0.5555555555555556,0.4545454545454546,0.5508021390374331
DT+ (max_depth=2),3,0.7142857142857143,0.6,0.3333333333333333,0.42857142857142855,0.6190476190476191
KNN (k=21),4,0.6296296296296297,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.4642857142857143
"KNN+ (VDM+sqrtIG, k=21)",4,0.7037037037037037,0.6,0.3333333333333333,0.42857142857142855,0.6142857142857142
DT (ID3),4,0.6666666666666666,0.5,0.5555555555555556,0.5263157894736842,0.6345864661654135
DT+ (max_depth=2),4,0.6296296296296297,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.4642857142857143
KNN (k=21),5,0.5925925925925926,0.3333333333333333,0.2222222222222222,0.26666666666666666,0.49230769230769234
"KNN+ (VDM+sqrtIG, k=21)",5,0.7037037037037037,0.6,0.3333333333333333,0.42857142857142855,0.6142857142857142
DT (ID3),5,0.6666666666666666,0.5,0.4444444444444444,0.47058823529411764,0.6136724960254372
DT+ (max_depth=2),5,0.5925925925925926,0.25,0.1111111111111111,0.15384615384615383,0.44277673545966234
KNN (k=21),6,0.6666666666666666,0.5,0.2222222222222222,0.30769230769230765,0.5440900562851783
"KNN+ (VDM+sqrtIG, k=21)",6,0.7407407407407407,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.676923076923077
DT (ID3),6,0.5185185185185185,0.375,0.6666666666666666,0.4800000000000001,0.5158620689655173
DT+ (max_depth=2),6,0.5925925925925926,0.4,0.4444444444444444,0.4210526315789474,0.5533834586466165
KNN (k=21),7,0.7777777777777778,1.0,0.3333333333333333,0.5,0.6785714285714286
"KNN+ (VDM+sqrtIG, k=21)",7,0.8148148148148148,1.0,0.4444444444444444,0.6153846153846153,0.7467166979362101
DT (ID3),7,0.7407407407407407,0.6,0.6666666666666666,0.631578947368421,0.7157894736842105
DT+ (max_depth=2),7,0.7407407407407407,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.676923076923077
KNN (k=21),8,0.7777777777777778,1.0,0.3333333333333333,0.5,0.6785714285714286
"KNN+ (VDM+sqrtIG, k=21)",8,0.7777777777777778,0.7142857142857143,0.5555555555555556,0.6250000000000001,0.7335526315789475
DT (ID3),8,0.8148148148148148,0.75,0.6666666666666666,0.7058823529411765,0.7853736089030208
DT+ (max_depth=2),8,0.8518518518518519,0.8571428571428571,0.6666666666666666,0.75,0.8223684210526316
KNN (k=21),9,0.7407407407407407,0.75,0.3333333333333333,0.46153846153846156,0.6454033771106942
"KNN+ (VDM+sqrtIG, k=21)",9,0.6666666666666666,0.5,0.3333333333333333,0.4,0.5846153846153845
DT (ID3),9,0.6296296296296297,0.45454545454545453,0.5555555555555556,0.5,0.6029411764705883
DT+ (max_depth=2),9,0.6666666666666666,0.5,0.2222222222222222,0.30769230769230765,0.5440900562851783
KNN (k=21),10,0.8148148148148148,0.8333333333333334,0.5555555555555556,0.6666666666666667,0.7692307692307693
"KNN+ (VDM+sqrtIG, k=21)",10,0.7777777777777778,0.8,0.4444444444444444,0.5714285714285714,0.7107142857142856
DT (ID3),10,0.5185185185185185,0.25,0.2222222222222222,0.23529411764705882,0.44197138314785367
DT+ (max_depth=2),10,0.7407407407407407,0.75,0.3333333333333333,0.46153846153846156,0.6454033771106942
